Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",239.000000,-19.500000,0.000000,bottom
"C2","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",240.500000,-24.750000,90.000000,bottom
"C3","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",229.750000,-31.500000,90.000000,bottom
"C4","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.250000,-33.750000,-90.000000,bottom
"C5","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.650000,-30.805000,0.000000,bottom
"C6","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",238.650000,-29.805000,0.000000,bottom
"C7","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",229.250000,-36.000000,180.000000,bottom
"C8","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",234.250000,-36.000000,0.000000,bottom
"C9","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",229.750000,-34.250000,-90.000000,bottom
"C10","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.000000,-34.750000,180.000000,bottom
"C11","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.000000,-33.750000,180.000000,bottom
"C12","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",227.000000,-32.750000,180.000000,bottom
"C13","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",228.750000,-31.500000,90.000000,bottom
"C14","14p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",232.250000,-38.000000,-90.000000,bottom
"C15","14p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",237.750000,-38.250000,90.000000,bottom
"D1","D_TVS","D_SOD-323_HandSoldering",242.750000,-15.750000,90.000000,bottom
"D4","D_TVS","D_SOD-323_HandSoldering",233.750000,-18.750000,180.000000,bottom
"D5","D_TVS","D_SOD-323_HandSoldering",234.250000,-21.750000,180.000000,bottom
"D55","BAV16W","D_SOD-123",29.350000,-29.500000,180.000000,bottom
"D56","BAV16W","D_SOD-123",29.250000,-48.500000,180.000000,bottom
"D57","BAV16W","D_SOD-123",29.250000,-67.500000,180.000000,bottom
"D58","BAV16W","D_SOD-123",29.250000,-86.750000,180.000000,bottom
"D59","BAV16W","D_SOD-123",52.750000,-29.750000,180.000000,bottom
"D60","BAV16W","D_SOD-123",52.750000,-48.750000,180.000000,bottom
"D61","BAV16W","D_SOD-123",53.000000,-67.500000,180.000000,bottom
"D62","BAV16W","D_SOD-123",53.000000,-86.500000,180.000000,bottom
"D63","BAV16W","D_SOD-123",72.000000,-29.500000,180.000000,bottom
"D64","BAV16W","D_SOD-123",72.000000,-48.500000,180.000000,bottom
"D65","BAV16W","D_SOD-123",72.000000,-67.750000,180.000000,bottom
"D66","BAV16W","D_SOD-123",72.000000,-86.500000,180.000000,bottom
"D67","BAV16W","D_SOD-123",72.000000,-105.750000,180.000000,bottom
"D68","BAV16W","D_SOD-123",90.850000,-29.750000,180.000000,bottom
"D69","BAV16W","D_SOD-123",90.750000,-48.500000,180.000000,bottom
"D70","BAV16W","D_SOD-123",90.850000,-67.500000,180.000000,bottom
"D71","BAV16W","D_SOD-123",91.100000,-86.500000,180.000000,bottom
